"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2004.01.018","Effect of acupuncture treatment on chronic neck and shoulder pain in sedentary female workers: a 6-month and 3-year follow-up study","Chronic neck and shoulder pain and related headache","Chronic neck and shoulder pain and related headache","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2004.08.021","Auricular acupuncture for pain relief after total hip arthroplasty - a randomized controlled study","Postoperative pain after total hip arthroplasty","Postoperative pain after total hip arthroplasty","Not specified (the paper focuses on postoperative pain management rather than a specific TCM disease or condition)","Not specified (the paper focuses on postoperative pain management rather than a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2004.08.030","Randomised trial of long term effect of acupuncture for shoulder pain","Shoulder pain (from soft tissues lesions) including conditions like rotator cuff lesions, capsulitis, bicipital tendonitis, and bursitis.","Shoulder pain (from soft tissues lesions) including conditions like rotator cuff lesions, capsulitis, bicipital tendonitis, and bursitis.","Bi Syndrome (shoulder pain from soft tissues lesions)","Bi Syndrome (shoulder pain from soft tissues lesions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2005.02.011","Acupuncture analgesia during surgery: a systematic review","Pain during surgery","Pain during surgery","Not specified (the paper does not explicitly state a specific disease or condition in TCM terminology)","Not specified (the paper does not explicitly state a specific disease or condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2006.01.012","Effects of intensity of electroacupuncture upon experimental pain in healthy human volunteers: A randomized, double-blind, placebo-controlled study","Not specified (the study focuses on pain perception in healthy volunteers rather than a specific disease or condition)","Experimental pain, Healthy volunteers","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2006.05.013","Acupuncture for patients with chronic neck pain","Chronic neck pain","Chronic neck pain","Not specified (the paper does not provide a TCM diagnosis or condition)","Not specified (the paper does not provide a TCM diagnosis or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2006.06.006","Cost-effectiveness of acupuncture treatment in patients with chronic neck pain","Chronic neck pain","Chronic neck pain","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/J.PAIN.2006.07.002","Efficacy and safety of acupuncture for chronic uncomplicated neck pain: A randomised controlled study q","Chronic uncomplicated neck pain","Chronic uncomplicated neck pain","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2010.06.036","German Randomized Acupuncture Trial for chronic shoulder pain (GRASP) -A pragmatic, controlled, patient-blinded, multi-centre trial in an outpatient care environment","Chronic shoulder pain (CSP)","Chronic shoulder pain (CSP)","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2011.04.006","Efficacy of acupuncture for migraine prophylaxis: A single-blinded, double-dummy, randomized controlled trial","Migraine without aura","Migraine without aura","Migraine without aura; Shaoyang headache (TE-GB), Yangming headache (LI-ST), Taiyang headache (SI-BL), Jueyin headache (PC-LR)","Migraine without aura; Shaoyang headache (TE-GB), Yangming headache (LI-ST), Taiyang headache (SI-BL), Jueyin headache (PC-LR)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2011.11.007","Practice, practitioner, or placebo? A multifactorial, mixed-methods randomized controlled trial of acupuncture","Osteoarthritic (OA) pain","Osteoarthritic (OA) pain","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2012.05.005","Acupuncture as an adjunctive therapy to pharmacological treatment in patients with chronic pain due to osteoarthritis of the knee: A 3-armed, randomized, placebo-controlled trial","Knee osteoarthritis","Knee osteoarthritis","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2012.05.026","The efficacy of acupuncture in human pain models: A randomized, controlled, double-blinded study","Pain","Pain","Pain disorders (general) Not specified (TCM terminology not explicitly provided)","Pain disorders (general) Not specified (TCM terminology not explicitly provided)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2012.05.033","Acupuncture in patients with acute low back pain: A multicentre randomised controlled clinical trial","Acute nonspecific low back pain","Acute nonspecific low back pain","Not specified (the paper does not provide a TCM-specific diagnosis or terminology for the condition)","Not specified (the paper does not provide a TCM-specific diagnosis or terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2013.03.013","Effects of motion style acupuncture treatment in acute low back pain patients with severe disability: A multicenter, randomized, controlled, comparative effectiveness trial","Acute low back pain (aLBP)","Acute low back pain (aLBP)","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2013.05.008","Specifying the nonspecific components of acupuncture analgesia","Post-surgical pain after third molar surgery","Post-surgical pain after third molar surgery","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pmn.2009.08.001","Postoperative Pain: Acupuncture versus Percutaneous Electrical Nerve Stimulation","Postoperative pain in gynecologic oncology patients","Postoperative pain in gynecologic oncology patients","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.ptsp.2015.06.003","The clinical impact of platelet-rich plasma on tendinopathy compared to placebo or dry needling injections: A meta-analysis","Tendinopathy","Tendinopathy","Not specified (the paper does not provide a TCM equivalent for the condition)","Not specified (the paper does not provide a TCM equivalent for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.rbmo.2010.02.024","Acupuncture for frozen-thawed embryo transfer cycles: a double-blind randomized controlled trial","Subfertility","Subfertility","Kidney yang/yin deficiency Liver qi stagnation with blood stasis Spleen qi deficiency with phlegm Combination of these syndromes","Kidney yang/yin deficiency Liver qi stagnation with blood stasis Spleen qi deficiency with phlegm Combination of these syndromes","","","","","","","","","","","","","","","","","","","","","","",""
